datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-02-18T01:23:12
[DUALBOUND] -17169.140607468
[END] 2023-02-18T01:23:33

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-02-18T01:23:33
[DUALBOUND] -17169.263043562
[END] 2023-02-18T01:23:54

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-02-18T01:23:54
[DUALBOUND] -17169.380453743
[END] 2023-02-18T01:24:15

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-02-18T01:24:15
[DUALBOUND] -17169.509214612
[END] 2023-02-18T01:24:34

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-02-18T01:24:35
[DUALBOUND] -17169.622307493
[END] 2023-02-18T01:24:56

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-02-18T01:24:56
[DUALBOUND] -17169.741673718
[END] 2023-02-18T01:25:15

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-02-18T01:25:15
[DUALBOUND] -17169.864341626
[END] 2023-02-18T01:25:36

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-02-18T01:25:36
[DUALBOUND] -17169.980053182
[END] 2023-02-18T01:25:56

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-02-18T01:25:56
[DUALBOUND] -17170.099038570
[END] 2023-02-18T01:26:17

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-02-18T01:26:17
[DUALBOUND] -17170.221410587
[END] 2023-02-18T01:26:35

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-02-18T01:26:35
[DUALBOUND] -17170.339904795
[END] 2023-02-18T01:26:52

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-02-18T01:26:52
[DUALBOUND] -17170.452779256
[END] 2023-02-18T01:27:10

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-02-18T01:27:10
[DUALBOUND] -17170.560042528
[END] 2023-02-18T01:27:28

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-02-18T01:27:28
[DUALBOUND] -17170.670857626
[END] 2023-02-18T01:27:44

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-02-18T01:27:44
[DUALBOUND] -17170.784164336
[END] 2023-02-18T01:28:01

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-02-18T01:28:01
[DUALBOUND] -17170.898720059
[END] 2023-02-18T01:28:18

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-02-18T01:28:18
[DUALBOUND] -17171.004099146
[END] 2023-02-18T01:28:34

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-02-18T01:28:34
[DUALBOUND] -17171.120891672
[END] 2023-02-18T01:28:50

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-02-18T01:28:50
[DUALBOUND] -17171.219485042
[END] 2023-02-18T01:29:06

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-02-18T01:29:06
[DUALBOUND] -17171.326602519
[END] 2023-02-18T01:29:23

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-02-18T01:29:23
[DUALBOUND] -17171.426258483
[END] 2023-02-18T01:29:39

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-02-18T01:29:39
[DUALBOUND] -17171.525260385
[END] 2023-02-18T01:29:56

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-02-18T01:29:56
[DUALBOUND] -17171.630807882
[END] 2023-02-18T01:30:13

provide_hint
Value 1 count 45 Qscore -0.410839386 Final score -0.404172719
Value 0 count 4 Qscore -0.699135625 Final score -0.624135625
max_cuts
Value 100 count 8 Qscore -0.712657171 Final score -0.675157171
Value 0 count 41 Qscore -0.380074573 Final score -0.372757500
max_cuts_root
Value 2000 count 8 Qscore -0.697767152 Final score -0.660267152
Value 0 count 41 Qscore -0.382979943 Final score -0.375662870
Provided hints: 45 successful hints: 45
fullstrong               calls 17         maxdepth 0          time 13.466971000
pscost                   calls 18159      maxdepth 0          time 0.103605000
relpscost                calls 1553       maxdepth 0          time 44.657722000
adaptivediving           calls 97         solns 0     bestsolns 0     time 1.926397000
alns                     calls 152        solns 6     bestsolns 6     time 74.702740000
completesol              calls 45         solns 107   bestsolns 47    time 228.831058000
conflictdiving           calls 336        solns 1     bestsolns 1     time 6.537868000
crossover                calls 18         solns 16    bestsolns 0     time 20.702384000
distributiondiving       calls 324        solns 1     bestsolns 1     time 11.560889000
feaspump                 calls 146        solns 146   bestsolns 5     time 10.741451000
fracdiving               calls 60         solns 0     bestsolns 0     time 1.092069000
guideddiving             calls 53         solns 0     bestsolns 0     time 0.931179000
intshifting              calls 222        solns 5     bestsolns 5     time 13.913650000
linesearchdiving         calls 55         solns 0     bestsolns 0     time 0.939696000
locks                    calls 50         solns 5     bestsolns 5     time 4.876275000
objpscostdiving          calls 45         solns 43    bestsolns 0     time 12.637407000
oneopt                   calls 38         solns 0     bestsolns 0     time 0.072714000
pscostdiving             calls 331        solns 2     bestsolns 2     time 19.390427000
randrounding             calls 398        solns 0     bestsolns 0     time 0.713683000
rens                     calls 22         solns 22    bestsolns 6     time 212.200796000
rins                     calls 63         solns 62    bestsolns 0     time 78.309536000
rootsoldiving            calls 32         solns 32    bestsolns 0     time 12.546293000
rounding                 calls 4835       solns 0     bestsolns 0     time 0.138855000
shifting                 calls 1389       solns 0     bestsolns 0     time 6.919664000
trivial                  calls 40         solns 0     bestsolns 0     time 0.025128000
veclendiving             calls 54         solns 0     bestsolns 0     time 0.969296000
zirounding               calls 7561       solns 0     bestsolns 0     time 0.219546000
domcol                   calls 52         changes 0          time 0.507258000
dualcomp                 calls 52         changes 0          time 0.441269000
dualsparsify             calls 15         changes 0          time 3.479777000
implics                  calls 152        changes 0          time 0.001344000
milp                     calls 16         changes 0          time 6.099982000
sparsify                 calls 50         changes 0          time 0.560688000
trivial                  calls 204        changes 109        time 0.004455000
aggregation              calls 777        cuts_found 0          cuts_added 0          time 23.630861000
clique                   calls 11         cuts_found 0          cuts_added 0          time 0.000350000
gomory                   calls 676        cuts_found 10478      cuts_added 736        time 7.319472000
impliedbounds            calls 777        cuts_found 11         cuts_added 4          time 0.017670000
mcf                      calls 11         cuts_found 0          cuts_added 0          time 0.000380000
mixing                   calls 777        cuts_found 0          cuts_added 0          time 0.037362000
rlt                      calls 110        cuts_found 0          cuts_added 0          time 0.000226000
zerohalf                 calls 724        cuts_found 0          cuts_added 0          time 0.073273000
